"Title","Page","URL"
﻿"A.Cool Idea In 5 (video)","https://itunes.apple.com/us/podcast/a-cool-idea-in-5-video/id159107647","https://itunes.apple.com/us/genre/podcasts-arts-design/id1402?mt=2&letter=A&page=1"
﻿"A.M. Thorne Conversations","https://itunes.apple.com/us/podcast/a-m-thorne-conversations/id1184945227","https://itunes.apple.com/us/genre/podcasts-arts-design/id1402?mt=2&letter=A&page=1"
﻿"A.Muse Creative","https://itunes.apple.com/us/podcast/a-muse-creative/id991657628","https://itunes.apple.com/us/genre/podcasts-arts-design/id1402?mt=2&letter=A&page=1"
﻿"A7music","https://itunes.apple.com/us/podcast/a7music/id195752535","https://itunes.apple.com/us/genre/podcasts-arts-design/id1402?mt=2&letter=A&page=1"
﻿"AAA50Green TV - Green Home Building","https://itunes.apple.com/us/podcast/aaa50green-tv-green-home-building/id405097547","https://itunes.apple.com/us/genre/podcasts-arts-design/id1402?mt=2&letter=A&page=1"
﻿"AADA - Raw, direct and live chats about design and creativity","https://itunes.apple.com/us/podcast/aada-raw-direct-and-live-chats-about-design-and-creativity/id1190920993","https://itunes.apple.com/us/genre/podcasts-arts-design/id1402?mt=2&letter=A&page=1"
﻿"Abends in der Kreativwirtschaft","https://itunes.apple.com/us/podcast/abends-in-der-kreativwirtschaft/id591174720","https://itunes.apple.com/us/genre/podcasts-arts-design/id1402?mt=2&letter=A&page=1"
﻿"About Buildings + Cities","https://itunes.apple.com/us/podcast/about-buildings-cities/id1147205326","https://itunes.apple.com/us/genre/podcasts-arts-design/id1402?mt=2&letter=A&page=1"
﻿"Abstracts","https://itunes.apple.com/us/podcast/abstracts/id1330505461","https://itunes.apple.com/us/genre/podcasts-arts-design/id1402?mt=2&letter=A&page=1"
﻿"Acervo N Design","https://itunes.apple.com/us/podcast/acervo-n-design/id1343410970","https://itunes.apple.com/us/genre/podcasts-arts-design/id1402?mt=2&letter=A&page=1"
﻿"Acme.Nipp-on-AiR","https://itunes.apple.com/us/podcast/acme-nipp-on-air/id1088489022","https://itunes.apple.com/us/genre/podcasts-arts-design/id1402?mt=2&letter=A&page=1"
﻿"Across the Pond","https://itunes.apple.com/us/podcast/across-the-pond/id968180183","https://itunes.apple.com/us/genre/podcasts-arts-design/id1402?mt=2&letter=A&page=1"
﻿"Across-The-Board","https://itunes.apple.com/us/podcast/across-the-board/id384325299","https://itunes.apple.com/us/genre/podcasts-arts-design/id1402?mt=2&letter=A&page=1"
﻿"Action Tank by Mike Barry - The Official Podcast","https://itunes.apple.com/us/podcast/action-tank-by-mike-barry-the-official-podcast/id1312616596","https://itunes.apple.com/us/genre/podcasts-arts-design/id1402?mt=2&letter=A&page=1"
﻿"Actively Passive","https://itunes.apple.com/us/podcast/actively-passive/id1330430147","https://itunes.apple.com/us/genre/podcasts-arts-design/id1402?mt=2&letter=A&page=1"
﻿"Adam Dubich Photography","https://itunes.apple.com/us/podcast/adam-dubich-photography/id343958138","https://itunes.apple.com/us/genre/podcasts-arts-design/id1402?mt=2&letter=A&page=1"
﻿"Adaptation- English","https://itunes.apple.com/us/podcast/adaptation-english/id346587665","https://itunes.apple.com/us/genre/podcasts-arts-design/id1402?mt=2&letter=A&page=1"
﻿"Adaptation- French","https://itunes.apple.com/us/podcast/adaptation-french/id347728956","https://itunes.apple.com/us/genre/podcasts-arts-design/id1402?mt=2&letter=A&page=1"
﻿"Adaptation- Japanese","https://itunes.apple.com/us/podcast/adaptation-japanese/id346847450","https://itunes.apple.com/us/genre/podcasts-arts-design/id1402?mt=2&letter=A&page=1"
﻿"Adaptation- Russian","https://itunes.apple.com/us/podcast/adaptation-russian/id347990315","https://itunes.apple.com/us/genre/podcasts-arts-design/id1402?mt=2&letter=A&page=1"
﻿"Adaptation- Spanish","https://itunes.apple.com/us/podcast/adaptation-spanish/id348535800","https://itunes.apple.com/us/genre/podcasts-arts-design/id1402?mt=2&letter=A&page=1"
﻿"Adaptive Path Podcast","https://itunes.apple.com/us/podcast/adaptive-path-podcast/id284362028","https://itunes.apple.com/us/genre/podcasts-arts-design/id1402?mt=2&letter=A&page=1"
﻿"Adobe Podcast「アドビ ポッドキャスト」","https://itunes.apple.com/us/podcast/adobe-podcast-%E3%82%A2%E3%83%89%E3%83%93-%E3%83%9D%E3%83%83%E3%83%89%E3%82%AD%E3%83%A3%E3%82%B9%E3%83%88/id257406124","https://itunes.apple.com/us/genre/podcasts-arts-design/id1402?mt=2&letter=A&page=1"
﻿"ADQLEB","https://itunes.apple.com/us/podcast/adqleb/id1282757683","https://itunes.apple.com/us/genre/podcasts-arts-design/id1402?mt=2&letter=A&page=1"
﻿"Adventures In Canning","https://itunes.apple.com/us/podcast/adventures-in-canning/id840457915","https://itunes.apple.com/us/genre/podcasts-arts-design/id1402?mt=2&letter=A&page=1"
﻿"Adventures In Design","https://itunes.apple.com/us/podcast/adventures-in-design/id503341322","https://itunes.apple.com/us/genre/podcasts-arts-design/id1402?mt=2&letter=A&page=1"
﻿"Adventures of a Transplanted Gardener - Jacksonville.com","https://itunes.apple.com/us/podcast/adventures-of-a-transplanted-gardener-jacksonville-com/id281776898","https://itunes.apple.com/us/genre/podcasts-arts-design/id1402?mt=2&letter=A&page=1"
﻿"AdVerve","https://itunes.apple.com/us/podcast/adverve/id336868065","https://itunes.apple.com/us/genre/podcasts-arts-design/id1402?mt=2&letter=A&page=1"
﻿"Aelacast","https://itunes.apple.com/us/podcast/aelacast/id1209827971","https://itunes.apple.com/us/genre/podcasts-arts-design/id1402?mt=2&letter=A&page=1"
﻿"Aesthetic Intent: Where there's passion, there's beauty","https://itunes.apple.com/us/podcast/aesthetic-intent-where-theres-passion-theres-beauty/id260640042","https://itunes.apple.com/us/genre/podcasts-arts-design/id1402?mt=2&letter=A&page=1"
﻿"Affordable Interior Design presents Big Design, Small Budget","https://itunes.apple.com/us/podcast/affordable-interior-design-presents-big-design-small/id978986960","https://itunes.apple.com/us/genre/podcasts-arts-design/id1402?mt=2&letter=A&page=1"
﻿"Africa State of Mind","https://itunes.apple.com/us/podcast/africa-state-of-mind/id1294982748","https://itunes.apple.com/us/genre/podcasts-arts-design/id1402?mt=2&letter=A&page=1"
